╨║╤А╨╕╤В╨╡╤А╨╕╨╣             ╨╕╤Б╤В╨╛╤З╨╜╨╕╨║  | AUC glob  AUC hon | bestF1 glob  bestF1 hon | priorF1 glob  priorF1 hon
  spine_positioning  geo       |    0.788    0.768 |       0.455       0.431 |        0.167        0.257
  spine_positioning  geobig    |    0.683    0.590 |       0.263       0.247 |        0.167        0.150
  spine_positioning  fused     |    0.711    0.703 |       0.800       0.744 |        0.667        0.667
  spine_positioning  fusedbig  |    0.769    0.719 |       0.600       0.513 |        0.500        0.383
  spine_axis         geo       |    0.815    0.809 |       0.400       0.421 |        0.300        0.300
  spine_axis         geobig    |    0.855    0.826 |       0.588       0.497 |        0.500        0.420
  spine_axis         fused     |    0.804    0.788 |       0.400       0.399 |        0.300        0.250
  spine_axis         fusedbig  |    0.826    0.779 |       0.522       0.451 |        0.400        0.370
  spine_artifacts    geo       |    0.738    0.718 |       0.471       0.460 |        0.471        0.394
  spine_artifacts    geobig    |    0.708    0.675 |       0.483       0.445 |        0.412        0.382
  spine_artifacts    fused     |    0.783    0.748 |       0.531       0.482 |        0.412        0.394
  spine_artifacts    fusedbig  |    0.736    0.718 |       0.480       0.488 |        0.353        0.353
  femur_positioning  geo       |    0.533    0.564 |       0.396       0.424 |        0.333        0.322
  femur_positioning  geobig    |    0.558    0.582 |       0.400       0.420 |        0.333        0.339
  femur_positioning  fused     |    0.680    0.665 |       0.495       0.499 |        0.417        0.383
  femur_positioning  fusedbig  |    0.652    0.660 |       0.455       0.483 |        0.389        0.403
  femur_roi          geo       |    0.870    0.872 |       0.727       0.731 |        0.571        0.614
  femur_roi          geobig    |    0.877    0.887 |       0.667       0.710 |        0.571        0.629
  femur_roi          fused     |    0.875    0.841 |       0.714       0.708 |        0.714        0.586
  femur_roi          fusedbig  |    0.891    0.853 |       0.667       0.679 |        0.714        0.629

=== ╨з╨╡╤Б╤В╨╜╤Л╨╣ pooled macro-F1 (refit-╨▓-train, ╤А╨░╨╜╨│╨╛╨▓╤Л╨╣ ╨┐╨╛╤А╨╛╨│) ===
  macro-F1=0.274┬▒0.037   ╤Г╨║╨╗╨░╨┤╨║╨░=0.198 ╨╛╤Б╤М=0.287 ╨┐╤А╨╡╨┤╨╝╨╡╤В╤Л=0.308 ROI=0.303
